grade,loan_count,total_ead,total_el,actual_defaults,wtd_pd,wtd_lgd,el_rate_pct,ead_share_pct,default_rate
D,3626,39339350.0,13619363.207,2141,0.6392687911397875,0.5415629139131684,34.6202,12.59,59.05
C,6458,59503125.0,6147490.7558,1339,0.24971717783141642,0.4137045845222414,10.3314,19.05,20.73
E,964,12450875.0,5577090.9259,621,0.6912085382232172,0.648074255122632,44.7928,3.99,64.42
B,10451,104462800.0,5305776.5634,1701,0.16695182365109876,0.30423458505587636,5.0791,33.44,16.28
F,241,3546875.0,1953954.6394,170,0.7520289533110133,0.7324607485462555,55.0895,1.14,70.54
A,10777,92027750.0,1901532.7966,1073,0.09850817963250215,0.20969211938437052,2.0663,29.46,9.96
G,64,1100525.0,886083.1356,63,0.9955965058949137,0.8086941851843439,80.5146,0.35,98.44
