product_type,loan_count,total_ead,total_el,actual_defaults,wtd_pd,wtd_lgd,el_rate_pct,ead_share_pct,default_rate
EDUCATION,6453,61191725.0,6673609.4227,1111,0.24619541093955105,0.34463702920084377,10.9061,19.59,17.22
MEDICAL,6071,56214925.0,6387258.5873,1621,0.2530596651827784,0.34828972562758015,11.3622,17.99,26.7
VENTURE,5719,54809625.0,5949585.4042,847,0.24550892842999747,0.34232197630206374,10.855,17.54,14.81
PERSONAL,5521,52856800.0,5901367.1885,1098,0.25065062083118916,0.3454212264623473,11.1648,16.92,19.89
DEBTCONSOLIDATION,5212,50008550.0,5685418.4525,1490,0.25313514737079956,0.34700419225362467,11.3689,16.01,28.59
HOMEIMPROVEMENT,3605,37349675.0,4794052.9685,941,0.2738358288974402,0.3618659104751246,12.8356,11.95,26.1
